n,id_moodle,titulo_catalogo,nome_curso,carga_horaria,idioma,nivel_dificuldade,professores_instrutores,publico_alvo,requisitos_tecnicos,pre_requisitos,descricao_curso,conteudos,metodologia,processo_avaliacao,categorias_nomes,tags,libras,link_curso,link_info,link_thumb,erro_extracao
115,656,Gestão Acadêmica de Cursos de Graduação,Gestão Acadêmica de Cursos de Graduação,60h,Português,Básico,[Rosangela Salvador Biral dos Santos](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=16041),"Coordenadores de cursos de graduação,pedagogos e técnicos em assuntos educacionais, bem como demais envolvidos na gestão de cursos de graduaçãodo IFES e de outras instituições.",Computador ou smartphone conectado à internet,Não há,"O curso visa orientar coordenadores de cursos de graduação, pedagogos e técnicos em assuntos educacionais, bem como demais envolvidos na gestão de cursos de graduação,para a realização de uma gestão acadêmica mais assertiva, lidando de forma consciente com os trâmites burocráticos necessários, de forma a contribuir para a excelência do ensino ofertado.","Atribuições e Trâmites Institucionais;
Planejamento Pedagógico do curso;
Gestão de Cursos: Educação a Distância;
Gestão de Cursos: Registro acadêmico.","Neste curso, os conteúdos serão estudados de forma livre pelo cursista, estando disponíveis em forma de vídeos, esquemas, mapas mentais e conceituais, materiais textuais ou links para internet.
Haverá ao final de cada unidade um questionário ou estudo de caso proposto, para que o cursista pratique os conhecimentos adquiridos, através da análise e discussão de situações problematizadoras.
Haverá também um fórum de discussão no qual os alunos podem interagir entre si, visando sanar dúvidas ou discutir os conteúdos trabalhados; além do fórum social no qual os cursistas podem se apresentar e compartilhar suas experiências com os colegas.
Ao final do curso, realizarão questionários avaliativos com correção e feedback automáticos.","Com o objetivo de detectar melhorias necessárias, bem como auxiliar o cursista na compreensão do conteúdo trabalhado, serão aplicados, ao final de cada unidade, atividades aplicadas, visando a análise e discussão de situações problematizadoras comuns ao ambiente educativo.
Após o estudo de todas as unidades, os cursistas serão submetidos a um questionário final composto por 10 questões objetivas de caráter analítico e reflexivo, no valor de 50 pontos, com feedbacks automáticos.
O cursista deverá atingir o mínimo de 60% de aproveitamento para aprovação no curso.
A qualidade do curso ofertado também deve ser avaliada pelos cursistas.
Criar Conta
Turmas anteriores",Gestão,gestao;graduacao;pedagogia;planejamento-pedagogico;registro-academico,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-academica-cursos-graduacao,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=656,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_GestaoAcademicaCursosGraduacao.jpg,
116,705,Introdução à Libras,Introdução à Libras,30 horas,Português,Básico,[Philipe Domingos](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=22260),Este curso é destinado à pessoas que estão iniciando o aprendizado ou já possuem certo conhecimento básico sobre a Língua Brasileira de Sinais - Libras.,Não há requisitos técnicos para a realização do curso.,Não há.,"Introdução à Libras é um curso que objetiva ensinar noçõesteóricasbásicas sobre a Língua Brasileira de Sinais. Tal curso, desenvolvido pelo Instituto Federal do Espírito Santo - IFES, é fundamentado nos valores institucionais de comprometimento com a inclusão e diversidade e na promoção da inclusão e acessibilidade comunicacional estabelecidas nas Leis 10.098/2000, 10.436/2002 e 13.146/2015, além das regulamentações da Lei 10.436/2002, previstas nos Decretos 5626/2005 e 9656/2018.","COMO SURGIRAM AS LÍNGUAS DE SINAIS
A LIBRAS É UMA LÍNGUA
MITOS SOBRE AS LÍNGUAS DE SINAIS
LEGISLAÇÃO E LIBRAS
O FUTURO DA LIBRAS","Os conteúdos estão dispostos de maneira que o cursista possa estudá-los progressivamente. A cada unidade, há um pequeno texto base e uma aula expositiva que se complementam na abordagem da temática. O acesso a novos conteúdos são condicionados ao estudo dos conteúdos que os precedem. Há também links para a internet, material complementar e um pequeno glossário, para que o aluno possa compreender melhor os conceitos abordados. Para a socialização de conhecimentos e finalização do curso, há um fórumonde os alunos precisam apresentar possibilidades para o fortalecimento da Libras a partir dos conteúdos abordados.O curso não possui tutoria e deve ser realizado de maneira autônoma pelo aluno.","A avaliação se dá por meio da realização dequestionários de correção automática ao final de cada bloco. O acesso aos questionários é condicionado ao estudo dos conteúdos da unidade e, por sua vez, o acesso à próxima unidade é condicionado à realização do questionário. Juntos, esses questionários totalizam 100 pontos.Para obter aprovação, o cursista deverá cumprir os requisitos curso, que envolvem o avanço no desbloqueio das restrições por meio da realização das atividades solicitadas e alcance 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Inclusão e Acessibilidade;Línguas,acessibilidade;gramatica;inclusao;libras;lingua;linguagem;sinais,sim,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-libras,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=705,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Vitrine_MOOC_Introducao_Libras.png,
117,706,Introdução à Educação de Surdos,[Introdução](https://mooc.cefor.ifes.edu.br/moodle/mod/page/view.php?id=95120)à Educação de Surdos.,30 horas,Português,Básico,[Philipe Domingos](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=22260),Profissionais da área da educação que atuam ou esperam atuar com alunos surdos.,Não há necessidade de nenhum software ou equipamento específico para a realização deste curso.,Ter conhecimento relacionado à área da Educação.,"Introduçãoà Educação de Surdos é um curso que tem por objetivo abordar questões relacionadas à surdez em sala de aula por meio de discussões que perpassam a inclusão, a linguagem e a cultura. Tal discussão, por sua vez, visa orientar e contextualizar profissionais da área da educação que se interessam pelo universo da surdez.","A SURDEZ NA HISTÓRIA
SURDEZ: LINGUAGEM E CULTURA
EDUCAÇÃO DOS SURDOS: UM BREVE HISTÓRICO
LEGISLAÇÃO E EDUCAÇÃO DE SURDOS
A ATUAÇÃO DO PROFESSOR EM SALA DE AULA","Os conteúdos estão dispostos de maneira que o cursista possa estudá-los progressivamente. A cada unidade, há um pequeno texto base e uma aula expositiva que se complementam na abordagem da temática. O acesso a novos conteúdos são condicionados ao estudo dos conteúdos que os precedem. Há também links para a internet e um pequeno glossário, para que o aluno possa compreender melhor os conceitos abordados. Para a socialização de conhecimentos e finalização do curso, há um fórumonde os alunos precisam trocar experiências sobre a educação de surdos a partir dos conteúdos abordados.O curso não possui tutoria e deve ser realizado de maneira autônoma pelo aluno.","A avaliação se dá por meio da realização dequestionários de correção automática ao final de cada bloco. O acesso aos questionários é condicionado ao estudo dos conteúdos da unidade e, por sua vez, o acesso à próxima unidade é condicionado à realização do questionário. Juntos, esses questionários totalizam 100 pontos.Para obter aprovação, o cursista deverá cumprir os requisitos curso, que envolvem o avanço no desbloqueio das restrições por meio da realização das atividades solicitadas e alcance 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Educação;Línguas,acessibilidade;cultura;educacao;inclusao;linguagem;professor;sala-de-aula;surdez,sim,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-educacao-surdos,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=706,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/Vitrine_MOOC_Educacao_Surdos.png,
118,693,Mooc de Lovelace : Arte e Game Design,Mooc de Lovelace : Arte e Game Design,20 h,Português,Básico,[Heglaé Malheiros Maia](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=13798),Pessoas interessadas em aprender como criar o conceito e a arte 2D para jogos analógicos e digitais,"É necessária a instalação prévia dos softwares (Krita e Inkscape). É opcional, mas recomendado o uso de mesa digitalizadora para desenhar.","Ensino Fundamental completo, conhecimentos básicos de Informática e de Internet.","Este curso visa atender pessoas interessadas na área de desenvolvimento de jogos, conhecendo a teoria de como criar e desenvolver jogos em geral e uma introdução ao design gráfico para a produção de arte 2D para jogos analógicos e/ou digitais, aprendendo a utilizar softwares gráficos gratuitos para este fim. O curso foi dividido em seis partes: Game Design, Design Gráfico e Arte, Krita, Inkscape, Game Design Document (GDD) e Projeto Final.","- Game Design
- Design Gráfico e Arte para Jogos
- Krita: criação e edição de imagens
- Inkscape: criação e edição de vetores gráficos
- Game Design Document (GDD)
- Projeto Final","O acesso ao curso será feito através de um rápido cadastro e a criação de um perfil para o Ambiente Virtual de Aprendizagem, onde todo material está disponibilizado.
Os conteúdos a serem estudados de forma livre pelo cursista estarão disponíveis em forma de videoaulas e material complementar (links, vídeos e textos considerados relevantes para os estudos do cursista).
Para promover o aprofundamento das discussões, os cursistas terão um fórum de discussão à disposição no ambiente virtual. Neles, serão discutidos os conteúdos disponibilizados, além da troca de informações e conhecimentos.
Este curso não possui tutoria.","O cursista será avaliado por meio de questionários avaliativos de autocorreção ao final de cada tópico, que juntos totalizam 100 pontos. Os questionários possuem restrição para sua realização. Assim, estão condicionados ao acesso de certos recursos ou à entrega de determinadas atividades. Para obter aprovação, o cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas. Haverá também a participação do aluno nos fóruns com suas produções.
Criar Conta
Turmas anteriores",Design;Educação,aprendizagem;arte-2d;corte-de-lovelace;design;games;lovelace,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-arte-game-design,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=693,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/xvitrine_Lovelace_Arte_Game_Design.png.pagespeed.ic_.Y1J52ZCFGU.webp,
119,709,Mooc de Lovelace: Robótica Educacional,Mooc de Lovelace: Robótica Educacional,60 Horas,Português,Intermediário,[Giovani Zanetti Neto](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=30),"Alunos do anos finais do Ensino Fundamental e do Ensino Médio, profissionais do setor público e privado, comunidade em geral;","Computador com acesso a Internet, softwares Arduído IDE, entre outros.",Conhecimentos de informática básica,Curso introdutório de robótica educacional,"Preparação - Introdução à Robótica (História, Recursos, Conceitos); Mecanismosda Mecânica,da Eletricidade, Mecanismo da Programação,Design;
Experimentação - Práticas de projetosrobóticosutilizando os mecanismos;
Olimpíada Científica - Práticas de projetos utilizando os mecanismos e conteúdos transversais.","O curso é organizado em três etapas:
O curso é organizado em três etapas: Preparação, Experimentação e Olimpíada Científica de Robótica. Na preparação, o objetivo é familiarizar-se com os mecanismos robóticos e com alguns exemplos apresentados nas vídeos-aulas a fim de testar os conceitos compreendidos por meio das questões de correção automática. Na etapa experimentação, o objetivo é conhecer mais a fundo o processo de construção dos projetos robóticos, os mecanismos a serem utilizados e reproduzir à prática a fim de desenvolver as habilidades dos conceitos tecnológicos: Compreensão do mecanismo, associação dos conceitos, revisão da estrutura, construção de projetos, análise de erros, raciocínio lógico e reflexão da prática. Na etapa da olimpíada científica de robótica, o objetivo é promover um olhar mais voltado para as habilidades dos conceitos transversais: Compreensão do problema, assimilação entre o mecanismo robótico e os temas transversais e raciocínio lógico.
Cada unidade instrucional da etapa de preparação será composta por uma apresentação dinâmicas contendo vídeo-aulas, janelas adicionais com conteúdo para sabia mais e junto com três perguntas. Na etapa de experimentação, apresentação dinâmicas contendo vídeo-aulas, janelas sabia mais e conceito dos projetos robóticos. Após estudo dos materiais, os alunos serão convidados a colaborarem com a expansão do conhecimento do curso através de provas técnicas e criativas da olimpíada cientifica de robótica. As provas técnicas consistirão na apresentação de situação problema num contexto atual envolvendo conceitos transversais. Já as provas criativas consistirão de atividades de livre expressão de domínio de conhecimentos.
As atividades das etapas depreparação, experimentação e olimpíada científicade Robóticaconferem títulos de nobreza da Corte de Lovelace: Lady/Lord, Baronesa/Barão, Viscondessa/Visconde, Condessa/Conde, Marquesa/Marquês, Duque/Duquesa.","Perguntas relativas aos conteúdos apresentados nosvídeos, projetos criativos e técnicos, e questionários de conhecimentos dos mecanismos robóticos.
Criar Conta
Turmas anteriores",Tecnologias e Informática,computacao;corte-de-lovelace;educacao;eletricidade;lovelace;mecanica;mulheres;programacao;robotica,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-robotica-educacional,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=709,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_RoboticaEducacional.png,
120,689,MOOC de Lovelace: Programação Python e C,Mooc de Lovelace: Programação Python,60h,Português,Intermediário,[Stefânio Soares Junior](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=14058),Interessados em aprender programação Python,Instalação de um interpretador de códigos Python,Ensino Fundamental Completo,Técnicas de Programação utilizando a Linguagem Python,"Introdução à Programação (Conceitos e Algoritmos)
Tipos de Dados e Variáveis
Instruções de Entrada, de atribuição e de Saída
Estruturas de controle condicional
Estruturas de controle de repetição","Atividades de resoluções de problemas
Utilização de imagens para apresentações de conceitos.
Apresentar exemplos de exercícios resolvidos em videoaula
Aplicar atividades orientadas ao desenvolvimento de habilidades
Uso de emblemas para recompensa em desempenhos
Criar Conta
Turmas anteriores",,Tecnologias e Informática,corte-de-lovelace;empressoes-aritimeticas;expressoes-logicas;lovelace;programacao;python,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-programacao-python-c,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=689,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_MoocLovelace_ProgramacaoPython.png,
121,667,Mooc de Lovelace: Pensamento Computacional com Scratch,MOOC de Lovelace: Pensamento Computacional.,20 horas.,Português.,Intermediário.,[Jussara Pinto Pancieri](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=1029),"Mulheres (não exclusivamente), dentro da proposta do Projeto Corte de Lovelace e do Programa Meninas Digitais da Sociedade Brasileira de Computação (SBC) de atrair as mulheres para as carreiras de computação.",Internet e software VisualG.,Ter conhecimentos de internet e de informática básica.,Introdução ao Pensamento Computacional através da compreensão e aplicação de conceitos do Pensamento Computacional.,"Introdução do Pensamento Computacional
Decomposição
Abstração
Reconhecimento de Padrões
Algoritmo","O acesso ao curso será feito através de um rápido cadastro e a criação de um perfil para o Ambiente Virtual de Aprendizagem, onde todo material está disponibilizado.
Os conteúdos a serem estudados de forma livre pelo cursista estarão disponíveis em forma de videoaulas e material complementar (links, vídeos e textos considerados relevantes para os estudos do cursista).
Para promover o aprofundamento das discussões, os cursistas terão um fórum de discussão à disposição no ambiente virtual. Neles, serão discutidos os conteúdos disponibilizados, além da troca de informações e conhecimentos.
Este curso não possui tutoria.","As atividades avaliativas são compostas porAtividades NobreseQuestionário de AvaliaçãoFinal.
As Atividades Nobres consistem em atividades de aplicação dos conceitos do Pensamento Computacional na resolução de problemas do mundo real. Essas atividades têm como objetivo geral formar bases de conhecimentos do Pensamento Computacional a partir do trabalho colaborativo dos alunos que desenvolvem soluções de problemas aplicando as técnicas do Pensamento Computacional. As Atividades Nobres não são avaliadas, mas são premiadas com emblemas de títulos de nobreza da Corte de Lovelace.
O Questionário de Avaliação Final para certificação consiste em um questionário que avalia a compreensão e aplicação dos conceitos do Pensamento Computacional.
Criar Conta
Turmas anteriores",Tecnologias e Informática,algoritimo;computacao;corte-de-lovelace;decomposicoes;lovelace;padroes;pensamento-computacional;programacao;scratch,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-pensamento-computacional-scratch,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=667,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_Mooc_Lovelace_PensCompScratch.png,
122,667,MOOC de Lovelace: Pensamento Computacional,MOOC de Lovelace: Pensamento Computacional.,20 horas.,Português.,Intermediário.,[Jussara Pinto Pancieri](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=1029),"Mulheres (não exclusivamente), dentro da proposta do Projeto Corte de Lovelace e do Programa Meninas Digitais da Sociedade Brasileira de Computação (SBC) de atrair as mulheres para as carreiras de computação.",Internet e software VisualG.,Ter conhecimentos de internet e de informática básica.,Introdução ao Pensamento Computacional através da compreensão e aplicação de conceitos do Pensamento Computacional.,"Introdução do Pensamento Computacional
Decomposição
Abstração
Reconhecimento de Padrões
Algoritmo","O acesso ao curso será feito através de um rápido cadastro e a criação de um perfil para o Ambiente Virtual de Aprendizagem, onde todo material está disponibilizado.
Os conteúdos a serem estudados de forma livre pelo cursista estarão disponíveis em forma de videoaulas e material complementar (links, vídeos e textos considerados relevantes para os estudos do cursista).
Para promover o aprofundamento das discussões, os cursistas terão um fórum de discussão à disposição no ambiente virtual. Neles, serão discutidos os conteúdos disponibilizados, além da troca de informações e conhecimentos.
Este curso não possui tutoria.","As atividades avaliativas são compostas porAtividades NobreseQuestionário de AvaliaçãoFinal.
As Atividades Nobres consistem em atividades de aplicação dos conceitos do Pensamento Computacional na resolução de problemas do mundo real. Essas atividades têm como objetivo geral formar bases de conhecimentos do Pensamento Computacional a partir do trabalho colaborativo dos alunos que desenvolvem soluções de problemas aplicando as técnicas do Pensamento Computacional. As Atividades Nobres não são avaliadas, mas são premiadas com emblemas de títulos de nobreza da Corte de Lovelace.
O Questionário de Avaliação Final para certificação consiste em um questionário que avalia a compreensão e aplicação dos conceitos do Pensamento Computacional.
Criar Conta
Turmas anteriores",Tecnologias e Informática,abstracao;algoritimo;corte-de-lovelace;decomposicao;lovelace;padroes;pensamento-computacional,sim,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-pensamento-computacional,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=667,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_MoocLovelace_pensamentoComputacional.png,
123,683,Mooc de Lovelace: Pensamento Computacional no Cotidiano Feminino,Mooc de Lovelace: Pensamento Computacional no Cotidiano Feminino,20 horas,Português,Básico,[Vania Silvares Marquiori](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=9307),"Este curso destina-se ao público feminino que estejam dentro da proposta do Programa Meninas Digitais da SBC e do Projeto Corte de Lovelace cujo objetivo é contribuir com ações que levem a despertar o interesse de mulheres para as carreiras de computação. No entanto, o curso não é restrito às mulheres e pode ser cursado por todos (homens ou mulheres) que tenham concluído ou estejam cursando o Ensino Fundamental.","Ter acesso a um computador, tablet ou celular com acesso à internet.",Ter concluído ou estar cursando a partir do ensino fundamental II; e ter conhecimentos básicos de navegação na Internet.,"O curso Mooc de Lovelace: Pensamento Computacional no Cotidiano Feminino tem como objetivo dar início a introdução do Pensamento Computacional(PC) preferencialmente para meninas e mulheres, mas não se restringe a elas, por meio de atividades cotidianas simples. A intenção é proporcionar familiarização com o PC, buscando despertar nos participantes o interesse pela programação.","Introdução ao Pensamento Computacional ;
Pilares do Pensamento Computacional:
Abstração;
Algoritmo;
Decomposição; e
Reconhecimento de padrões.","O curso apresenta-se no formato de oficinas, em que o participante é convidado a desenvolver atividades relacionadas ao dia a dia e ao cotidiano feminino.","O cursista será avaliado por meio de atividades avaliativas de autocorreção ao longo de cada unidade que totalizam 100 pontos. Para obter aprovação, o cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Tecnologias e Informática,abstracao;algoritimo;corte-de-lovelace;decomposicao;lovelace;padroes;pensamento-computacional,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?lovelace-pensamento-computacional-cotidiano-feminino,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=683,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_MoocLovelace_pccf.png,
124,669,Educador Maker: Primeiros Passos,Educador Maker: Primeiros Passos,30 horas,Português,Básico,[Marize Lyra Silva Passos](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=2863),profissionais da área de educação que tenham interesse em conhecer os princípios básicos da Cultura a serem utilizadas na educação e servir de base a implantação de laboratórios Maker.,Necessário ter acesso à internet. Poderá ser acessado via smartphone ou computador.,Não há pré-requisitos.,Este curso tem como objetivo levar educadores a refletirem sobre o papel da Cultura Maker na Educação como meio e não fim ao processo de aprendizagem para atender as demandas do século XXI.,"Introdução a Cultura Maker;
Espaços que inspiram;
Mentalidade Maker;
Cultura Maker na Educação
Compartilhando práticas Maker na educação.","O curso propõe uma metodologia que contempla momentos de estudos individuais e atividades baseadas em autoinstrução como estudos dirigidos e questionários online, seguidos de momentos com atividades que levam o cursista à reflexão individual sobre sua prática e atividades práticas em espaço coletivo com atividade de compartilhamento de práticas ligadas a Cultura Maker. Os conteúdos podem ser estudados de forma livre pelo cursista e estão disponíveis em forma de vídeo tutoriais e material complementar (links, vídeos e textos considerados relevantes). Os cursistas têm à disposição um espaço de fórum colaborativo para troca de informações e colaboração no caso de dúvidas, aprendendo uns com os outros e colaborando ativamente na construção do conhecimento. Este curso não possui tutoria.","A avaliação da aprendizagem é constituída de quatro atividades avaliativas no formato de questionário e quatro atividades avaliativas no formato de jogos. Para obter aprovação, o cursista deve alcançar 60% da nota máxima no curso, constituída da somatória de todas as atividades avaliativas realizadas ao longo do curso.
Criar Conta
Turmas anteriores
Gerente:Vanessa Battestin",Educação,aprendizagem;educador;maker;praticas-educativas,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educador-maker-primeiros-passos,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=669,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/1_Vitrine_Educador_Maker_PP_primeiro_curso.png,
125,676,Educador Maker: Aprendizagem Baseada em Projetos,Educador Maker: Aprendizagem Baseada em Projetos,30 horas,Português,Básico,[Marize Lyra Silva Passos](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=2863),"profissionais da área de educação que tenham interesse em conhecer os princípios básicos da Cultura Maker a serem utilizados na educação e, a partir daí, criar espaços educativos Maker.",Necessário ter acesso à internet. Poderá ser acessado via smartphone ou computador.,"Não há pré-requisitos.
Conteúdos
Pilares da Aprendizagem Criativa;
Aprendizagem Baseada em Projetos;
Elementos Essenciais de Design de Projeto;
Práticas de Ensino Baseadas em Projetos;
Compartilhando Projetos para Espaços Maker.
Metodologia
O curso propõe uma metodologia que contempla momentos de estudos individuais e atividades baseadas em autoinstrução como estudos dirigidos e questionários online, seguidos de momentos com atividades que levam o cursista à reflexão individual sobre sua prática e atividades práticas em espaço coletivo com atividade de compartilhamento de práticas ligadas ao uso da Aprendizagem Baseada em Projetos em espaços Maker.
Os conteúdos podem ser estudados de forma livre pelo cursista e estão disponíveis em forma de vídeo tutoriais e material complementar (links, vídeos e textos considerados relevantes).
Os cursistas têm à disposição um espaço de fórum colaborativo para troca de informações e colaboração no caso de dúvidas, aprendendo uns com os outros e colaborando ativamente na construção do conhecimento.
Este curso não possui tutoria.
Processo de Avaliação
A avaliação da aprendizagem é constituída de quatro atividades avaliativas no formato de questionário e quatro atividades avaliativas no formato de jogos. Além de atividades práticas opcionais realizadas ao longo do curso postadas em um fórum específico do tópico, que irá fornecer emblemas para os cursistas que as fizerem.
Para obter aprovação, o cursista deve alcançar 60% da nota máxima no curso, constituída da somatória de todas as atividades avaliativas realizadas ao longo deste.
Criar Conta
Turmas anteriores
Gerente:Vanessa Battestin",Este curso tem como objetivo levar educadores refletirem sobre o uso da Aprendizagem Baseada em Projetos em espaços Maker para atender as demandas do século XXI.,,,,Educação,abp;aprendizagem;cultura-maker;maker;projetos,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educador-maker-aprendizagem-baseada-projetos,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=676,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_EducadorMaker_Projetos.png,
126,685,Educador Maker: ensino ‘mão na massa’,Educador Maker: ensino 'mão na massa',30 horas,Português,Intermediário,[Marize Lyra Silva Passos](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=2863),profissionais da área de educação que tenham interesse em trabalhar a culturamakerno ensino.,Computador ou smartphone com acesso à internet.,"Este curso não possui pré-requisitos.
Conteúdos
1. Como ser um educador maker
a. A história da cultura maker e seu contexto atual
b. A educação do século 21 e a cultura maker
c. Práticas para educadores com cultura maker
2. A cultura maker e a sala de aula
a. Conceitos a se observar: aprendizagem centrada no aluno, aprender fazendo, projetos
desafiadores e valorização do erro
b. Os espaços maker: a sala de aula como um espaço maker
c. Práticas sugeridas para a sala de aula sobre cultura maker
3. O ensino de ciências e a cultura maker
a. Como utilizar a cultura maker no ensino de ciências
b. Criando e acompanhando projetos maker
c. Reflexões sobre o ensino de ciências e a cultura maker
4. Compartilhando práticas maker na educação
a. Exemplos e casos de sucesso
b. Outras fontes de inspiração
Metodologia
O acesso ao curso é feito através de cadastro e criação de perfil para o Ambiente Virtual de Aprendizagem, onde todo material está disponibilizado.
Os conteúdos a serem estudados de forma livre pelo cursista estão disponíveis em forma de videoaulas e material complementar (links, vídeos e textos considerados relevantes para seus estudos).
Para promover o aprofundamento das discussões, o aluno terá fórum de discussão à disposição no ambiente virtual. Neles, ele poderá discutir os conteúdos disponibilizados, além da possibilidade de troca de informações e conhecimentos.
Este curso não possui tutoria.
Processo de Avaliação
A avaliação da aprendizagem é constituída de duas atividades avaliativas no formato de questionário e dois jogos avaliativos ao longo do curso.
Para obter aprovação, o cursista deve alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas ao longo do curso e o envio da atividade final nos termos estabelecidos.
Criar Conta
Turmas anteriores","Este curso tem como objetivo geral formar educadores capazes de reconhecer e integrar características da culturamakerna educação, utilizando a tecnologia como meio e não fim do processo de aprendizagem, a fim de atender as demandas da educação do século XXI.",,,,Educação,aprendizagem;cultura-maker;educador;formacao-de-professores;maker,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educador-maker-ensino-mao-massa,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=685,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_EducadorMaker_EnsinoMaonaMassa.png,
